Epoch;TotalLivingAnimals;TotalDeadAnimals;TotalPlants;MeanEnergy;MeanLifespan;MeanChildrenCount;DominatingGenome
133;30;108;119;121.17;14.14;1.87;00000000000123333333455556667777
134;30;108;119;122.83;14.03;1.87;00000000000123333333455556667777
135;30;108;118;125.83;13.93;1.87;00000000000123333333455556667777
136;30;108;118;127.50;13.82;1.87;00000000000123333333455556667777
137;30;108;119;127.83;13.72;1.87;00000000000123333333455556667777
138;31;108;116;129.19;13.62;1.87;00000000000123333333455556667777
139;31;108;116;130.77;13.53;1.87;00000000000123333333455556667777
140;31;108;114;134.94;13.43;1.87;00000000000123333333455556667777
141;32;108;114;132.25;13.33;1.88;00000000000123333333455556667777
142;32;108;115;132.50;13.24;1.88;00000000000123333333455556667777
143;32;108;115;134.00;13.15;1.88;00000000000123333333455556667777
144;32;108;116;134.25;13.06;1.88;00000000000123333333455556667777
145;34;108;114;130.12;12.97;1.88;00000000000123333333455556667777
146;35;108;113;128.86;12.88;1.89;00000000000123333333455556667777
147;36;108;111;128.75;12.79;1.89;00000000000123333333455556667777
148;36;108;112;128.86;12.70;1.89;00000000000123333333455556667777
149;36;108;113;128.97;12.62;1.89;00000000000123333333455556667777
150;37;108;112;127.78;12.53;1.89;00000000000123333333455556667777
151;37;108;112;128.95;12.45;1.89;00000000000123333333455556667777
152;37;108;114;127.95;12.37;1.89;00000000000123333333455556667777
153;39;108;116;120.46;12.29;1.90;00000000000123333333455556667777
154;39;108;118;119.46;12.21;1.90;00000000000123333333455556667777
155;40;108;118;117.53;12.13;1.90;00000000000123333333455556667777
156;40;108;116;120.53;12.05;1.90;00000000000123333333455556667777
157;39;109;115;125.69;12.04;1.95;00000000000123333333455556667777
158;38;110;117;128.00;11.99;2.00;00000000000123333333455556667777
159;37;111;115;134.78;12.00;2.03;00000000000123333333455556667777
160;38;111;116;131.34;11.93;2.03;00000000000123333333455556667777
161;39;111;115;130.10;11.85;2.03;00000000000123333333455556667777
162;40;112;116;125.90;11.88;2.05;00000000000123333333455556667777
163;40;112;117;125.90;11.81;2.05;00000000000123333333455556667777
164;39;113;115;132.23;12.39;2.03;00000000000123333333455556667777
165;40;113;114;130.98;12.32;2.03;00000000000123333333455556667777
166;40;114;115;131.02;12.39;2.00;00000000000123333333455556667777
167;41;114;115;128.80;12.32;2.00;00000000000123333333455556667777
168;41;114;114;130.73;12.24;2.00;00000000000123333333455556667777
169;41;114;116;129.73;12.17;2.00;00000000000123333333455556667777
170;41;114;116;130.68;12.10;2.00;00000000000123333333455556667777
171;42;114;115;129.45;12.03;2.00;00000000000123333333455556667777
172;42;114;116;129.40;11.96;2.00;00000000000123333333455556667777
173;43;114;116;127.30;11.89;2.00;00000000000123333333455556667777
174;46;114;118;118.11;11.82;2.00;00000000000123333333455556667777
175;48;114;120;112.27;11.75;2.00;00000000000123333333455556667777
176;51;114;119;107.12;11.69;2.00;00000000000000112334444445566777
177;53;114;119;103.62;11.62;2.00;00001233333333333334444555556777
178;53;114;116;106.40;11.56;2.00;00001233333333333334444555556777
179;55;114;116;103.04;11.49;2.00;00000111111111222333333345566777
180;57;114;114;101.26;11.43;2.00;00000111111111222333333345566777
