Epoch;TotalLivingAnimals;TotalDeadAnimals;TotalPlants;MeanEnergy;MeanLifespan;MeanChildrenCount;DominatingGenome
272;71;396;68;61.56;49.47;2.61;00111112223445555555555666666777
273;70;397;68;62.59;49.57;2.63;00111112223445555555555666666777
274;72;397;67;61.57;49.39;2.61;00111112223445555555555666666777
275;70;399;67;63.47;49.39;2.64;00111112223445555555555666666777
276;69;401;67;64.57;49.45;2.68;00111112223445555555555666666777
277;68;402;69;63.93;50.27;2.56;00111112223445555555555666666777
278;67;404;69;65.10;50.52;2.58;00000011234555555555555555566667
279;63;408;68;70.14;50.82;2.67;00000011234555555555555555566667
280;63;408;68;70.41;50.64;2.67;00000011234555555555555555566667
281;64;409;68;69.59;50.80;2.64;00000011234555555555555555566667
282;61;412;70;72.02;50.99;2.57;00000011234555555555555555566667
283;60;413;69;74.22;51.81;2.50;00000011234555555555555555566667
284;60;413;69;74.55;51.63;2.50;00000011234555555555555555566667
285;58;415;69;77.50;51.80;2.57;00000011234555555555555555566667
286;57;416;71;77.86;51.77;2.56;00000011123444444555555556677777
287;56;417;70;80.39;51.63;2.59;00000011123444444555555556677777
288;54;420;72;81.67;51.75;2.61;00000011123444444555555556677777
289;53;422;73;82.98;51.80;2.64;00000011123444444555555556677777
290;54;423;72;82.72;51.68;2.65;00000011123444444555555556677777
291;53;424;70;86.30;51.84;2.66;00000011123444444555555556677777
292;55;424;69;84.38;51.66;2.64;00000011123444444555555556677777
293;56;425;69;83.34;51.86;2.59;00000011123444444555555556677777
294;58;425;69;80.88;51.68;2.57;00000011123444444555555556677777
295;59;426;68;80.61;51.60;2.59;00000011123444444555555556677777
296;59;427;70;79.64;52.03;2.59;00000011123444444555555556677777
297;60;428;71;78.02;52.11;2.57;00000011123444444555555556677777
298;62;428;71;75.84;51.93;2.55;00000011123444444555555556677777
299;63;429;73;73.67;51.79;2.57;00000000111223455555555555566667
300;64;429;74;72.17;51.62;2.56;00000000111223455555555555566667
301;65;429;74;71.32;51.45;2.55;00000000111223455555555555566667
302;65;429;75;70.94;51.28;2.55;00000000111223455555555555566667
303;64;431;73;73.56;51.79;2.50;00000000111223455555555555566667
304;64;432;72;74.45;51.63;2.53;00000000111223455555555555566667
305;63;433;74;74.63;51.51;2.54;00000000111223455555555555566667
306;63;434;73;75.57;51.38;2.54;00000000111223455555555555566667
307;64;434;74;74.03;51.21;2.53;00000000111223455555555555566667
308;63;435;75;74.84;51.28;2.52;00000000111223455555555555566667
309;65;435;76;72.22;51.11;2.51;00000000111223455555555555566667
310;66;435;76;71.36;50.95;2.50;00000000111223455555555555566667
311;66;435;74;72.79;50.78;2.50;00000000111223455555555555566667
312;66;435;75;72.39;50.62;2.50;00000000111223455555555555566667
313;67;436;77;70.34;50.52;2.51;00000000111223455555555555566667
314;69;436;76;69.10;50.36;2.49;00000000111223455555555555566667
315;69;437;77;68.12;50.38;2.49;00000000111223455555555555566667
316;68;439;76;69.90;50.27;2.54;00000000111223455555555555566667
317;66;441;78;71.02;50.26;2.59;00000000111223455555555555566667
318;64;443;78;73.48;50.40;2.61;00000011123444444555555556677777
319;65;443;78;72.62;50.24;2.60;00000011123444444555555556677777
320;64;444;78;74.00;50.35;2.64;00000011123444444555555556677777
321;64;444;76;75.50;50.19;2.64;00000011123444444555555556677777
322;63;445;74;78.24;50.13;2.65;00000011123444444555555556677777
323;62;446;73;79.79;50.01;2.69;00000011123444444555555556677777
324;61;448;73;81.43;50.68;2.56;00000011123444444555555556677777
325;62;448;73;80.44;50.53;2.55;00000011123444444555555556677777
326;62;448;74;80.08;50.37;2.55;00000011123444444555555556677777
327;63;448;75;78.46;50.22;2.54;00000011123444444555555556677777
328;62;449;75;80.02;50.51;2.42;00000011123444444555555556677777
329;63;449;74;79.68;50.35;2.41;00000011123444444555555556677777
330;63;450;73;80.62;50.43;2.41;00000011123444444555555556677777
331;64;450;73;79.64;50.28;2.41;00000011123444444555555556677777
332;63;452;72;81.84;50.26;2.43;00000011123444444555555556677777
333;61;455;73;84.20;50.36;2.44;00000011123444444555555556677777
334;60;456;73;85.93;50.32;2.48;00000011123444444555555556677777
335;61;456;73;84.85;50.17;2.48;00000011123444444555555556677777
336;64;456;74;80.58;50.02;2.45;00000011123444444555555556677777
337;64;457;74;80.84;50.20;2.38;00001112222333344455555555556667
338;64;459;75;80.53;50.11;2.41;00001112222333344455555555556667
339;68;459;77;74.87;49.96;2.38;00001112222333344455555555556667
340;72;460;78;70.38;49.99;2.39;00001112222333344455555555556667
341;72;461;77;71.06;49.87;2.42;00001112222333344455555555556667
342;74;461;74;70.86;49.73;2.41;00001112222333344455555555556667
343;76;462;73;69.64;49.67;2.42;00001112222333344455555555556667
344;79;462;72;67.57;49.53;2.41;00001112222333344455555555556667
345;80;463;72;66.75;49.55;2.41;00001112222333344455555555556667
346;78;465;73;67.97;49.52;2.47;00001112222333344455555555556667
347;76;467;72;70.34;49.89;2.39;00001112222333344455555555556667
348;74;470;72;72.34;50.77;2.24;00000000000011111223345666666777
349;72;472;73;73.90;50.75;2.24;00000000000011111223345666666777
350;68;476;73;78.43;50.84;2.34;00000000000011111223345666666777
351;69;476;74;76.88;50.70;2.33;00000000000011111223345666666777
352;68;477;75;77.60;50.58;2.35;00000000000011111223345666666777
353;62;483;75;85.40;50.65;2.52;00000011123444444555555556677777
354;62;483;76;85.05;50.51;2.52;00000011123444444555555556677777
355;62;484;77;84.71;50.67;2.52;00000011123444444555555556677777
356;63;485;77;83.67;50.58;2.51;00000011123444444555555556677777
357;63;486;78;83.33;50.50;2.51;00000011123444444555555556677777
358;63;488;77;84.29;50.68;2.49;00000011123444444555555556677777
359;64;489;77;83.25;50.60;2.48;00000011123444444555555556677777
360;64;490;77;83.52;50.51;2.47;00000011123444444555555556677777
361;67;490;77;80.01;50.37;2.45;00000011123444444555555556677777
362;68;490;79;77.87;50.23;2.44;00000011123444444555555556677777
363;68;491;81;76.90;50.78;2.32;00000011123444444555555556677777
364;67;493;81;78.25;50.99;2.28;00000011123444444555555556677777
365;67;493;81;78.45;50.85;2.28;00000011123444444555555556677777
366;68;493;79;78.66;50.71;2.28;00000011123444444555555556677777
367;68;494;79;78.85;50.59;2.31;00000011123444444555555556677777
368;69;495;79;77.91;50.48;2.33;00000011123444444555555556677777
369;70;495;79;76.97;50.34;2.33;00000011123444444555555556677777
370;72;496;78;75.57;50.24;2.32;00000011123444444555555556677777
371;72;498;79;75.17;50.77;2.29;00000011123444444555555556677777
372;70;500;79;77.46;51.15;2.21;00000011123444444555555556677777
373;71;501;77;77.65;51.28;2.17;00000011123444444555555556677777
374;72;502;77;76.18;51.22;2.18;00000011123444444555555556677777
